2026-02-19T10:29:00.214820+01:00,  soc=31.0,  volt=46.14,  volt_delta=-6.66, volt_rate_per_min=-6.66, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:30:00.214876+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=77.0,  batt_mode=discharge,  batt_discharge_w=77.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:31:00.216132+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=10.0,  batt_mode=idle,  batt_discharge_w=10.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:32:00.215603+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=10.0,  batt_mode=idle,  batt_discharge_w=10.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:33:00.214897+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=10.0,  batt_mode=idle,  batt_discharge_w=10.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:34:00.214931+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=10.0,  batt_mode=idle,  batt_discharge_w=10.0,  batt_charge_w=0,  load_w=25.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:35:00.214726+01:00,  soc=31.0,  volt=45.79,  volt_delta=-7.01, volt_rate_per_min=-7.01, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=25.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:36:00.216637+01:00,  soc=31.0,  volt=46.18,  volt_delta=-6.62, volt_rate_per_min=-6.62, volt_status=CRITICAL_EMERGENCY, batt_w=-888.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=888.0,  load_w=25.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:37:00.214787+01:00,  soc=31.0,  volt=46.84,  volt_delta=-5.96, volt_rate_per_min=-5.96, volt_status=CRITICAL_EMERGENCY, batt_w=-1112.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1112.0,  load_w=25.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:38:00.214954+01:00,  soc=31.0,  volt=47.4,  volt_delta=-5.4, volt_rate_per_min=-5.4, volt_status=CRITICAL_LOW, batt_w=-1112.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1112.0,  load_w=25.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=3, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:39:00.215832+01:00,  soc=31.0,  volt=47.82,  volt_delta=-4.98, volt_rate_per_min=-4.98, volt_status=WARNING, batt_w=-1112.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1112.0,  load_w=29.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=15, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=41, volt_penalty_a=15, voltage_protected_limit_a=26, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:40:00.214761+01:00,  soc=31.0,  volt=48.21,  volt_delta=-4.59, volt_rate_per_min=-4.59, volt_status=WARNING, batt_w=-1112.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1112.0,  load_w=29.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=28, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=41, volt_penalty_a=10, voltage_protected_limit_a=31, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:41:00.215576+01:00,  soc=31.0,  volt=48.55,  volt_delta=-4.25, volt_rate_per_min=-4.25, volt_status=CAUTION, batt_w=-1112.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1112.0,  load_w=29.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=28, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=41, volt_penalty_a=10, voltage_protected_limit_a=31, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:42:00.216629+01:00,  soc=31.0,  volt=48.85,  volt_delta=-3.95, volt_rate_per_min=-3.95, volt_status=CAUTION, batt_w=-1163.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1163.0,  load_w=29.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=28, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=40, volt_penalty_a=10, voltage_protected_limit_a=30, soc_power_w=1972, is_critical_soc=False
