2026-02-28T09:07:00.341472+01:00,  soc=76.0,  volt=52.21,  volt_delta=-0.59, volt_rate_per_min=-0.59, volt_status=NORMAL, batt_w=1172.0,  batt_mode=discharge,  batt_discharge_w=1172.0,  batt_charge_w=0,  load_w=1478.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3133, is_critical_soc=False
2026-02-28T09:08:00.340616+01:00,  soc=75.0,  volt=52.21,  volt_delta=-0.59, volt_rate_per_min=-0.59, volt_status=NORMAL, batt_w=1172.0,  batt_mode=discharge,  batt_discharge_w=1172.0,  batt_charge_w=0,  load_w=1446.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3133, is_critical_soc=False
2026-02-28T09:09:00.340698+01:00,  soc=75.0,  volt=52.21,  volt_delta=-0.59, volt_rate_per_min=-0.59, volt_status=NORMAL, batt_w=1172.0,  batt_mode=discharge,  batt_discharge_w=1172.0,  batt_charge_w=0,  load_w=1446.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3133, is_critical_soc=False
2026-02-28T09:10:00.340476+01:00,  soc=75.0,  volt=52.21,  volt_delta=-0.59, volt_rate_per_min=-0.59, volt_status=NORMAL, batt_w=1222.0,  batt_mode=discharge,  batt_discharge_w=1222.0,  batt_charge_w=0,  load_w=1446.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3133, is_critical_soc=False
2026-02-28T09:11:00.340165+01:00,  soc=75.0,  volt=51.45,  volt_delta=-1.35, volt_rate_per_min=-1.35, volt_status=NORMAL, batt_w=3116.0,  batt_mode=discharge,  batt_discharge_w=3116.0,  batt_charge_w=0,  load_w=1446.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3087, is_critical_soc=False
2026-02-28T09:12:00.340658+01:00,  soc=75.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1215.0,  batt_mode=discharge,  batt_discharge_w=1215.0,  batt_charge_w=0,  load_w=1446.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:13:00.340552+01:00,  soc=74.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1215.0,  batt_mode=discharge,  batt_discharge_w=1215.0,  batt_charge_w=0,  load_w=1446.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:14:00.340156+01:00,  soc=74.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1215.0,  batt_mode=discharge,  batt_discharge_w=1215.0,  batt_charge_w=0,  load_w=1427.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:15:00.340730+01:00,  soc=74.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1215.0,  batt_mode=discharge,  batt_discharge_w=1215.0,  batt_charge_w=0,  load_w=1427.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:16:00.340525+01:00,  soc=74.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1215.0,  batt_mode=discharge,  batt_discharge_w=1215.0,  batt_charge_w=0,  load_w=1427.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
