2026-02-22T10:30:00.322287+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4396.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:31:00.322358+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4396.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:32:00.322759+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6234.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:33:00.321803+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4286.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:34:00.322148+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4294.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:35:00.321794+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4400.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:36:00.321820+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4400.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:37:00.322171+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4311.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:38:00.321803+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6227.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:39:00.322542+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6282.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:40:00.323301+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4505.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:41:00.322637+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4505.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:42:00.321987+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4133.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
