2026-02-24T21:22:00.339976+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=1849.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:23:00.341341+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2399.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:24:00.340095+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2399.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:25:00.340027+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2399.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:26:00.340316+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2399.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:27:00.339820+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2399.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:28:00.339855+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2399.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:29:00.340887+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2397.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:30:00.340054+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2397.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:31:00.340353+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=264.0,  batt_mode=discharge,  batt_discharge_w=264.0,  batt_charge_w=0,  load_w=2419.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:32:00.339940+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2162.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:33:00.340023+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2162.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
