2026-01-29T17:03:00.205088+01:00,  soc=94.0,  volt=52.13,  volt_status=NORMAL, batt_w=2637.0,  batt_mode=discharge,  batt_discharge_w=2637.0,  batt_charge_w=0,  load_w=2569.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:04:00.204189+01:00,  soc=94.0,  volt=52.13,  volt_status=NORMAL, batt_w=2637.0,  batt_mode=discharge,  batt_discharge_w=2637.0,  batt_charge_w=0,  load_w=2569.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:05:00.205813+01:00,  soc=93.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2569.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:06:00.205540+01:00,  soc=93.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2569.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:07:00.204516+01:00,  soc=93.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2580.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:08:00.205074+01:00,  soc=92.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2580.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:09:00.205281+01:00,  soc=92.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2580.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:10:00.205179+01:00,  soc=91.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2580.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:11:00.204468+01:00,  soc=91.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2580.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:12:00.204875+01:00,  soc=90.0,  volt=52.13,  volt_status=NORMAL, batt_w=2640.0,  batt_mode=discharge,  batt_discharge_w=2640.0,  batt_charge_w=0,  load_w=2580.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:13:00.204324+01:00,  soc=90.0,  volt=52.13,  volt_status=NORMAL, batt_w=2541.0,  batt_mode=discharge,  batt_discharge_w=2541.0,  batt_charge_w=0,  load_w=2467.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:14:00.205639+01:00,  soc=89.0,  volt=52.13,  volt_status=NORMAL, batt_w=2541.0,  batt_mode=discharge,  batt_discharge_w=2541.0,  batt_charge_w=0,  load_w=2467.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:15:00.205535+01:00,  soc=89.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2604.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:16:00.205782+01:00,  soc=89.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2604.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:17:00.204501+01:00,  soc=88.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2604.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:18:00.205018+01:00,  soc=88.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2598.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
