2026-01-28T18:45:00.738417+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T18:45:00.754294+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T18:50:00.560593+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T18:50:00.569989+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T18:55:00.599389+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T18:55:00.625519+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:00:00.832767+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:00:00.838963+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:05:00.555255+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:05:00.573114+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:10:00.485731+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:10:00.495528+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:15:00.723916+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:15:00.734678+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:20:00.544780+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:20:00.556295+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
